company_id,company_name,num_laid_off,pct_laid_off,industry,office,country_code,country,region,continent,date_announced,year,quarter,month,weekday,week,stage,mn_raised_dollar,source
995,Ginkgo Bioworks,400,0.35,Healthcare,Boston,USA,United States,Northern America,North America,2024-06-20,2024,Q2,6,Thursday,25,Post-IPO,1600,https://www.bostonglobe.com/2024/06/25/business/gingko-jason-kelly-mit-securities-and-exchange-commission-covid-biosecurity/
309,Bluevine,NA,NA,Finance,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-20,2024,Q2,6,Thursday,25,Unknown,769,https://www.calcalistech.com/ctechnews/article/byqph00wlr
2474,Trade Republic,NA,NA,Finance,Berlin,DEU,Germany,Western Europe,Europe,2024-06-23,2024,Q2,6,Sunday,25,Unknown,1300,https://www.wiwo.de/finanzen/geldanlage/neobroker-trade-republic-schliesst-den-eigenen-kundenservice/29862010.html
919,Flutterwave,30,0.03,Finance,Lagos,NGA,Nigeria,Sub-Saharan Africa,Africa,2024-06-24,2024,Q2,6,Monday,26,Unknown,509,https://techcabal.com/2024/06/24/flutterwave-lays-off-3-of-its-workforce/
995,Ginkgo Bioworks,NA,NA,Healthcare,Boston,USA,United States,Northern America,North America,2024-06-24,2024,Q2,6,Monday,26,Post-IPO,1600,https://www.biospace.com/article/biospace-layoff-tracker-2023-athenex-shutters-facility-cuts-staff/
242,BeReal,NA,NA,Consumer,Paris,FRA,France,Western Europe,Europe,2024-06-25,2024,Q2,6,Tuesday,26,Acquired,NA,https://www.businessinsider.com/bereal-layoffs-after-acquisition-voodoo-2024-6
1835,Perion,35,0.05,Marketing,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-25,2024,Q2,6,Tuesday,26,Post-IPO,76,https://en.globes.co.il/en/article-perion-network-lays-off-20-transfers-us-activities-to-israel-1001420801
1870,Planet,180,0.17,Aerospace,SF Bay Area,USA,United States,Northern America,North America,2024-06-26,2024,Q2,6,Wednesday,26,Post-IPO,574,https://spacenews.com/planet-lays-off-17-of-workforce/
768,eBay,NA,NA,Retail,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-26,2024,Q2,6,Wednesday,26,Post-IPO,1200,https://www.calcalistech.com/ctechnews/article/rysmrkfua
1597,Moxion Power,101,NA,Energy,SF Bay Area,USA,United States,Northern America,North America,2024-06-26,2024,Q2,6,Wednesday,26,Unknown,124,https://www.sfgate.com/tech/article/moxion-power-layoffs-after-expansion-19541807.php
